category,Description,Test Steps,Expected Results
Identification,Upload ID Documents,"1. Choose the option to upload identification documents (e.g., passport, driver's license).
2. Select the appropriate files and upload them.","1.The system prompts for document upload.
2.The system accepts the uploaded documents and verifies their authenticity."
Initial Deposit,Deposit Funds,"1. Enter the amount for the initial deposit into the new account.
2. Choose the source of funds for the initial deposit (e.g., transfer from another account).","1.The system verifies the deposited amount meets the minimum required for opening the selected account type.
2.The system processes the initial deposit and verifies the fund source."
Confirmation,Review and Confirm,"1. Review all entered information for accuracy.
2. Confirm the request to open the account.","1.The system displays a summary of the provided details for confirmation.
2.The system acknowledges the request and displays a confirmation message of successful account opening."
Account Creation,Account Creation Completion,1. Receive an account number or confirmation of the account creation.,The system provides the user with the new account details or a confirmation message.
Invalid Account Type,Invalid Account Selection,"1. Navigate to the ""Open Account"" section.
2. Attempt to select an unsupported or unavailable account type.","1.The system displays options to choose the account type.
2.The system denies the selection and displays an error message indicating an invalid account type."
Missing Personal Information,Incomplete Personal Details,"1. Fill in only partial personal details (e.g., leaving out address or contact information).
2. Leave mandatory fields blank.","1.The system prompts for all required personal information.
2.The system displays error messages next to the blank fields, indicating them as required."
Invalid ID Documents,Upload Incorrect ID Documents,"1. Choose the option to upload identification documents.
2. Upload documents that don't meet the specified requirements or are fake.","1.The system prompts for document upload.
2.The system rejects the documents and displays an error message indicating the issue with the uploaded documents."
Insufficient Initial Deposit,Deposit Below Minimum Amount,"1. Enter an initial deposit amount below the minimum required for account opening.
2. Attempt to proceed with the inadequate deposit.","1.The system displays an error message indicating the minimum required deposit amount.
2.The system prevents further steps and prompts the user to increase the deposit amount."
Conflicting Information,Conflicting Data Entry,"1. Enter contradictory information in different sections (e.g., conflicting addresses or birthdates).
2. Confirm submission with conflicting data.","1.The system identifies the inconsistencies and prompts for correction.
2.The system halts the process and displays an error message, asking the user to resolve the conflicting information."
Duplicate Account Creation,Attempt to Create Duplicate Account,"1. Try to open a new account with the same details as an existing account.
2. Proceed with duplicate account creation.","1.The system identifies the existing account and prevents the creation of a duplicate account.
2.The system displays an error message indicating that the account already exists and advises to use the existing account or contact support."
